text,cleaned_text,created_at,user,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
Institutional adoption of BTC is increasing. Bullish!,Institutional adoption of BTC is increasing. Bullish!,2025-04-05 03:42:11+00:00,crypto_user_2990,1.0,1.0,0.0,0.0,1.0,0.5
Analyzing BTC on-chain metrics. Data is inconclusive.,Analyzing BTC on-chain metrics. Data is inconclusive.,2025-05-18 02:31:05+00:00,crypto_user_2561,0.0,0.5,1.0,0.5,0.0,0.5
Monitoring BTC price action. No clear direction yet.,Monitoring BTC price action. No clear direction yet.,2025-04-12 14:36:09+00:00,crypto_user_9237,0.0,0.5,1.0,0.5,0.0,0.5
BTC looking bullish today! Price target ${price},BTC looking bullish today! Price target ${price},2025-04-28 22:18:28+00:00,crypto_user_9055,1.0,1.0,0.0,0.0,1.0,0.5
Analyzing BTC on-chain metrics. Data is inconclusive.,Analyzing BTC on-chain metrics. Data is inconclusive.,2025-05-04 05:50:52+00:00,crypto_user_9833,0.0,0.5,1.0,0.5,0.0,0.5
Interesting developments in the BTC ecosystem.,Interesting developments in the BTC ecosystem.,2025-05-26 23:18:32+00:00,crypto_user_3025,0.0,0.5,1.0,0.5,0.0,0.5
Fundamentals don't support current BTC valuation. Overpriced!,Fundamentals don't support current BTC valuation. Overpriced!,2025-04-30 21:22:47+00:00,crypto_user_8034,0.0,0.5,0.0,0.5,0.0,0.5
The BTC market is maturing. Expect less volatility.,The BTC market is maturing. Expect less volatility.,2025-05-02 18:58:55+00:00,crypto_user_5700,0.0,0.5,1.0,0.5,0.0,0.5
BTC volume declining. Not a good sign.,BTC volume declining. Not a good sign.,2025-05-05 09:28:16+00:00,crypto_user_6634,-1.0,0.0,0.0,1.0,-1.0,0.5
BTC trading sideways today. Waiting for a breakout.,BTC trading sideways today. Waiting for a breakout.,2025-05-30 09:32:05+00:00,crypto_user_3292,0.0,0.5,1.0,0.5,0.0,0.5
Regulatory concerns for BTC are mounting. Proceed with caution.,Regulatory concerns for BTC are mounting. Proceed with caution.,2025-04-02 04:21:24+00:00,crypto_user_9668,-1.0,0.0,0.0,1.0,-1.0,0.5
BTC volume declining. Not a good sign.,BTC volume declining. Not a good sign.,2025-04-23 06:54:46+00:00,crypto_user_5521,-1.0,0.0,0.0,1.0,-1.0,0.5
Fundamentals don't support current BTC valuation. Overpriced!,Fundamentals don't support current BTC valuation. Overpriced!,2025-05-20 09:54:30+00:00,crypto_user_1858,0.0,0.5,0.0,0.5,0.0,0.5
Just sold my BTC. Too much volatility for me.,Just sold my BTC. Too much volatility for me.,2025-04-04 10:31:17+00:00,crypto_user_7559,-1.0,0.0,0.0,1.0,-1.0,0.5
Technical indicators show BTC is overbought. Correction incoming.,Technical indicators show BTC is overbought. Correction incoming.,2025-04-01 19:21:43+00:00,crypto_user_2321,-1.0,0.0,0.0,1.0,-1.0,0.5
Fundamentals don't support current BTC valuation. Overpriced!,Fundamentals don't support current BTC valuation. Overpriced!,2025-05-09 09:17:25+00:00,crypto_user_6930,0.0,0.5,0.0,0.5,0.0,0.5
Whales dumping BTC. Price manipulation is real.,Whales dumping BTC. Price manipulation is real.,2025-04-12 23:35:53+00:00,crypto_user_7871,-1.0,0.0,0.0,1.0,-1.0,0.5
Just sold my BTC. Too much volatility for me.,Just sold my BTC. Too much volatility for me.,2025-05-17 14:44:23+00:00,crypto_user_5210,-1.0,0.0,0.0,1.0,-1.0,0.5
The BTC bubble is about to burst. Get out while you can!,The BTC bubble is about to burst. Get out while you can!,2025-05-08 12:16:20+00:00,crypto_user_2075,-1.0,0.0,0.0,1.0,-1.0,0.5
BTC volume declining. Not a good sign.,BTC volume declining. Not a good sign.,2025-05-25 01:17:40+00:00,crypto_user_3793,-1.0,0.0,0.0,1.0,-1.0,0.5
The future is bright for BTC. New ATH coming soon!,The future is bright for BTC. New ATH coming soon!,2025-05-22 00:26:50+00:00,crypto_user_3780,1.0,1.0,0.0,0.0,1.0,0.5
The BTC rally was just a dead cat bounce. More downside ahead.,The BTC rally was just a dead cat bounce. More downside ahead.,2025-05-05 00:33:52+00:00,crypto_user_6800,0.0,0.5,0.0,0.5,0.0,0.5
The BTC rally was just a dead cat bounce. More downside ahead.,The BTC rally was just a dead cat bounce. More downside ahead.,2025-05-01 23:58:53+00:00,crypto_user_1853,0.0,0.5,0.0,0.5,0.0,0.5
Just bought more BTC! Expecting a rally to ${price},Just bought more BTC! Expecting a rally to ${price},2025-05-04 00:13:23+00:00,crypto_user_7304,1.0,1.0,0.0,0.0,1.0,0.5
Analyzing BTC on-chain metrics. Data is inconclusive.,Analyzing BTC on-chain metrics. Data is inconclusive.,2025-04-26 04:53:56+00:00,crypto_user_4482,0.0,0.5,1.0,0.5,0.0,0.5
Interesting developments in the BTC ecosystem.,Interesting developments in the BTC ecosystem.,2025-04-19 17:02:35+00:00,crypto_user_6457,0.0,0.5,1.0,0.5,0.0,0.5
The BTC bubble is about to burst. Get out while you can!,The BTC bubble is about to burst. Get out while you can!,2025-05-26 22:32:00+00:00,crypto_user_6696,-1.0,0.0,0.0,1.0,-1.0,0.5
The BTC bubble is about to burst. Get out while you can!,The BTC bubble is about to burst. Get out while you can!,2025-05-13 20:28:01+00:00,crypto_user_9673,-1.0,0.0,0.0,1.0,-1.0,0.5
Historical BTC patterns suggest we're in uncharted territory.,Historical BTC patterns suggest we're in uncharted territory.,2025-05-20 00:14:29+00:00,crypto_user_9631,0.0,0.5,1.0,0.5,0.0,0.5
The future is bright for BTC. New ATH coming soon!,The future is bright for BTC. New ATH coming soon!,2025-05-25 15:08:14+00:00,crypto_user_6749,1.0,1.0,0.0,0.0,1.0,0.5
