text,cleaned_text,created_at,user,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
ETH breaking key support levels. Be careful!,ETH breaking key support levels. Be careful!,2025-04-26 01:23:13+00:00,crypto_user_9012,0.0,0.5,0.0,0.5,0.0,0.5
Fundamentals don't support current ETH valuation. Overpriced!,Fundamentals don't support current ETH valuation. Overpriced!,2025-04-23 17:45:42+00:00,crypto_user_1777,0.0,0.5,0.0,0.5,0.0,0.5
ETH looking bearish. Might drop to ${price},ETH looking bearish. Might drop to ${price},2025-04-02 00:37:27+00:00,crypto_user_2360,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-05-18 10:24:48+00:00,crypto_user_4281,-1.0,0.0,0.0,1.0,-1.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-04-13 16:05:04+00:00,crypto_user_2163,1.0,1.0,0.0,0.0,1.0,0.5
Regulatory concerns for ETH are mounting. Proceed with caution.,Regulatory concerns for ETH are mounting. Proceed with caution.,2025-04-14 20:24:05+00:00,crypto_user_8875,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-04-21 01:16:11+00:00,crypto_user_7687,1.0,1.0,0.0,0.0,1.0,0.5
ETH looking bearish. Might drop to ${price},ETH looking bearish. Might drop to ${price},2025-04-30 13:05:41+00:00,crypto_user_4111,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH breaking key support levels. Be careful!,ETH breaking key support levels. Be careful!,2025-04-23 17:19:33+00:00,crypto_user_9219,0.0,0.5,0.0,0.5,0.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-04-25 02:19:02+00:00,crypto_user_2155,1.0,1.0,0.0,0.0,1.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-04-19 04:22:44+00:00,crypto_user_7160,-1.0,0.0,0.0,1.0,-1.0,0.5
Long-term ETH holders will be rewarded. Patience pays!,Long-term ETH holders will be rewarded. Patience pays!,2025-05-28 09:06:31+00:00,crypto_user_3263,1.0,1.0,0.0,0.0,1.0,0.5
The ETH ecosystem is growing rapidly. Very optimistic!,The ETH ecosystem is growing rapidly. Very optimistic!,2025-05-14 05:07:38+00:00,crypto_user_2471,1.0,1.0,0.0,0.0,1.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-05-14 12:37:17+00:00,crypto_user_2771,-1.0,0.0,0.0,1.0,-1.0,0.5
Institutional adoption of ETH is increasing. Bullish!,Institutional adoption of ETH is increasing. Bullish!,2025-05-21 18:29:36+00:00,crypto_user_8754,1.0,1.0,0.0,0.0,1.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-15 03:55:10+00:00,crypto_user_2736,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-05-06 08:36:23+00:00,crypto_user_3615,0.0,0.5,1.0,0.5,0.0,0.5
ETH technical analysis shows strong support. Hodl!,ETH technical analysis shows strong support. Hodl!,2025-05-19 14:07:46+00:00,crypto_user_1245,1.0,1.0,0.0,0.0,1.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-05-10 18:44:32+00:00,crypto_user_8070,1.0,1.0,0.0,0.0,1.0,0.5
