text,cleaned_text,created_at,user,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
Whales dumping XRP. Price manipulation is real.,Whales dumping XRP. Price manipulation is real.,2025-04-23 21:21:54+00:00,crypto_user_2048,-1.0,0.0,0.0,1.0,-1.0,0.5
Comparing XRP to other cryptocurrencies. Mixed results.,Comparing XRP to other cryptocurrencies. Mixed results.,2025-04-07 21:51:59+00:00,crypto_user_6957,0.0,0.5,1.0,0.5,0.0,0.5
Just sold my XRP. Too much volatility for me.,Just sold my XRP. Too much volatility for me.,2025-05-08 20:35:05+00:00,crypto_user_6527,-1.0,0.0,0.0,1.0,-1.0,0.5
XRP technical analysis shows strong support. Hodl!,XRP technical analysis shows strong support. Hodl!,2025-05-08 14:22:38+00:00,crypto_user_7244,1.0,1.0,0.0,0.0,1.0,0.5
Long-term XRP holders will be rewarded. Patience pays!,Long-term XRP holders will be rewarded. Patience pays!,2025-04-11 05:45:34+00:00,crypto_user_9769,1.0,1.0,0.0,0.0,1.0,0.5
XRP volume declining. Not a good sign.,XRP volume declining. Not a good sign.,2025-05-01 15:34:34+00:00,crypto_user_3682,-1.0,0.0,0.0,1.0,-1.0,0.5
Monitoring XRP price action. No clear direction yet.,Monitoring XRP price action. No clear direction yet.,2025-05-22 03:29:16+00:00,crypto_user_4876,0.0,0.5,1.0,0.5,0.0,0.5
Just bought more XRP! Expecting a rally to ${price},Just bought more XRP! Expecting a rally to ${price},2025-05-06 13:53:18+00:00,crypto_user_8109,1.0,1.0,0.0,0.0,1.0,0.5
XRP breaking key support levels. Be careful!,XRP breaking key support levels. Be careful!,2025-04-17 07:36:24+00:00,crypto_user_3732,0.0,0.5,0.0,0.5,0.0,0.5
XRP fundamentals are stronger than ever. Buy the dip!,XRP fundamentals are stronger than ever. Buy the dip!,2025-05-20 14:11:27+00:00,crypto_user_6988,1.0,1.0,0.0,0.0,1.0,0.5
Whales dumping XRP. Price manipulation is real.,Whales dumping XRP. Price manipulation is real.,2025-04-24 14:12:12+00:00,crypto_user_3410,-1.0,0.0,0.0,1.0,-1.0,0.5
Long-term XRP holders will be rewarded. Patience pays!,Long-term XRP holders will be rewarded. Patience pays!,2025-05-09 07:30:21+00:00,crypto_user_2063,1.0,1.0,0.0,0.0,1.0,0.5
Comparing XRP to other cryptocurrencies. Mixed results.,Comparing XRP to other cryptocurrencies. Mixed results.,2025-05-08 05:19:54+00:00,crypto_user_8697,0.0,0.5,1.0,0.5,0.0,0.5
XRP technical analysis shows strong support. Hodl!,XRP technical analysis shows strong support. Hodl!,2025-04-29 02:43:11+00:00,crypto_user_9419,1.0,1.0,0.0,0.0,1.0,0.5
The XRP ecosystem is growing rapidly. Very optimistic!,The XRP ecosystem is growing rapidly. Very optimistic!,2025-05-28 23:04:48+00:00,crypto_user_9829,1.0,1.0,0.0,0.0,1.0,0.5
Fundamentals don't support current XRP valuation. Overpriced!,Fundamentals don't support current XRP valuation. Overpriced!,2025-05-03 11:48:48+00:00,crypto_user_5321,0.0,0.5,0.0,0.5,0.0,0.5
Long-term XRP holders will be rewarded. Patience pays!,Long-term XRP holders will be rewarded. Patience pays!,2025-04-13 12:45:40+00:00,crypto_user_7127,1.0,1.0,0.0,0.0,1.0,0.5
Whales dumping XRP. Price manipulation is real.,Whales dumping XRP. Price manipulation is real.,2025-05-15 00:40:05+00:00,crypto_user_7506,-1.0,0.0,0.0,1.0,-1.0,0.5
Just bought more XRP! Expecting a rally to ${price},Just bought more XRP! Expecting a rally to ${price},2025-05-03 08:00:58+00:00,crypto_user_2165,1.0,1.0,0.0,0.0,1.0,0.5
This XRP rally is just getting started! 🚀,This XRP rally is just getting started! 🚀,2025-04-03 19:40:48+00:00,crypto_user_6250,1.0,1.0,0.0,0.0,1.0,0.5
Accumulating XRP at these levels is a no-brainer.,Accumulating XRP at these levels is a no-brainer.,2025-04-05 12:10:27+00:00,crypto_user_6461,1.0,1.0,0.0,0.0,1.0,0.5
Technical indicators show XRP is overbought. Correction incoming.,Technical indicators show XRP is overbought. Correction incoming.,2025-05-09 08:18:59+00:00,crypto_user_8875,-1.0,0.0,0.0,1.0,-1.0,0.5
XRP volatility has decreased recently. Consolidation phase?,XRP volatility has decreased recently. Consolidation phase?,2025-05-24 07:26:41+00:00,crypto_user_6070,0.0,0.5,1.0,0.5,0.0,0.5
XRP volatility has decreased recently. Consolidation phase?,XRP volatility has decreased recently. Consolidation phase?,2025-05-13 01:40:09+00:00,crypto_user_1737,0.0,0.5,1.0,0.5,0.0,0.5
XRP trading sideways today. Waiting for a breakout.,XRP trading sideways today. Waiting for a breakout.,2025-04-04 23:49:48+00:00,crypto_user_8470,0.0,0.5,1.0,0.5,0.0,0.5
New XRP update announced. Impact on price unclear.,New XRP update announced. Impact on price unclear.,2025-04-01 22:13:20+00:00,crypto_user_2595,0.0,0.5,1.0,0.5,0.0,0.5
The future is bright for XRP. New ATH coming soon!,The future is bright for XRP. New ATH coming soon!,2025-04-10 20:56:17+00:00,crypto_user_3102,1.0,1.0,0.0,0.0,1.0,0.5
XRP breaking key support levels. Be careful!,XRP breaking key support levels. Be careful!,2025-04-19 23:16:02+00:00,crypto_user_7481,0.0,0.5,0.0,0.5,0.0,0.5
What's your price prediction for XRP this month?,What's your price prediction for XRP this month?,2025-05-25 00:31:11+00:00,crypto_user_7514,0.0,0.5,1.0,0.5,0.0,0.5
What's your price prediction for XRP this month?,What's your price prediction for XRP this month?,2025-04-01 02:48:37+00:00,crypto_user_2782,0.0,0.5,1.0,0.5,0.0,0.5
The XRP ecosystem is growing rapidly. Very optimistic!,The XRP ecosystem is growing rapidly. Very optimistic!,2025-05-17 10:38:56+00:00,crypto_user_8333,1.0,1.0,0.0,0.0,1.0,0.5
XRP volatility has decreased recently. Consolidation phase?,XRP volatility has decreased recently. Consolidation phase?,2025-04-11 19:27:34+00:00,crypto_user_6374,0.0,0.5,1.0,0.5,0.0,0.5
XRP looking bullish today! Price target ${price},XRP looking bullish today! Price target ${price},2025-05-06 23:44:09+00:00,crypto_user_3041,1.0,1.0,0.0,0.0,1.0,0.5
Technical indicators show XRP is overbought. Correction incoming.,Technical indicators show XRP is overbought. Correction incoming.,2025-04-03 07:21:39+00:00,crypto_user_8608,-1.0,0.0,0.0,1.0,-1.0,0.5
XRP breaking key support levels. Be careful!,XRP breaking key support levels. Be careful!,2025-05-22 04:50:50+00:00,crypto_user_2443,0.0,0.5,0.0,0.5,0.0,0.5
Regulatory concerns for XRP are mounting. Proceed with caution.,Regulatory concerns for XRP are mounting. Proceed with caution.,2025-04-28 23:10:29+00:00,crypto_user_8796,-1.0,0.0,0.0,1.0,-1.0,0.5
Monitoring XRP price action. No clear direction yet.,Monitoring XRP price action. No clear direction yet.,2025-05-12 05:00:54+00:00,crypto_user_3452,0.0,0.5,1.0,0.5,0.0,0.5
XRP looking bullish today! Price target ${price},XRP looking bullish today! Price target ${price},2025-04-04 20:19:58+00:00,crypto_user_1230,1.0,1.0,0.0,0.0,1.0,0.5
The XRP rally was just a dead cat bounce. More downside ahead.,The XRP rally was just a dead cat bounce. More downside ahead.,2025-04-23 19:43:08+00:00,crypto_user_9252,0.0,0.5,0.0,0.5,0.0,0.5
The XRP bubble is about to burst. Get out while you can!,The XRP bubble is about to burst. Get out while you can!,2025-05-22 03:25:38+00:00,crypto_user_1004,-1.0,0.0,0.0,1.0,-1.0,0.5
The XRP market is maturing. Expect less volatility.,The XRP market is maturing. Expect less volatility.,2025-05-27 18:53:33+00:00,crypto_user_7747,0.0,0.5,1.0,0.5,0.0,0.5
Long-term XRP holders will be rewarded. Patience pays!,Long-term XRP holders will be rewarded. Patience pays!,2025-04-14 19:02:31+00:00,crypto_user_8480,1.0,1.0,0.0,0.0,1.0,0.5
This XRP rally is just getting started! 🚀,This XRP rally is just getting started! 🚀,2025-04-17 23:29:30+00:00,crypto_user_9625,1.0,1.0,0.0,0.0,1.0,0.5
Just bought more XRP! Expecting a rally to ${price},Just bought more XRP! Expecting a rally to ${price},2025-04-26 14:47:57+00:00,crypto_user_4685,1.0,1.0,0.0,0.0,1.0,0.5
Just bought more XRP! Expecting a rally to ${price},Just bought more XRP! Expecting a rally to ${price},2025-05-23 23:02:33+00:00,crypto_user_4873,1.0,1.0,0.0,0.0,1.0,0.5
XRP looking bearish. Might drop to ${price},XRP looking bearish. Might drop to ${price},2025-04-13 10:15:58+00:00,crypto_user_6834,-1.0,0.0,0.0,1.0,-1.0,0.5
The XRP ecosystem is growing rapidly. Very optimistic!,The XRP ecosystem is growing rapidly. Very optimistic!,2025-05-28 12:35:58+00:00,crypto_user_9258,1.0,1.0,0.0,0.0,1.0,0.5
XRP volume declining. Not a good sign.,XRP volume declining. Not a good sign.,2025-04-25 00:36:55+00:00,crypto_user_2010,-1.0,0.0,0.0,1.0,-1.0,0.5
New XRP update announced. Impact on price unclear.,New XRP update announced. Impact on price unclear.,2025-05-03 00:49:23+00:00,crypto_user_3384,0.0,0.5,1.0,0.5,0.0,0.5
Interesting developments in the XRP ecosystem.,Interesting developments in the XRP ecosystem.,2025-04-15 06:33:09+00:00,crypto_user_1157,0.0,0.5,1.0,0.5,0.0,0.5
The XRP market is maturing. Expect less volatility.,The XRP market is maturing. Expect less volatility.,2025-05-16 15:43:38+00:00,crypto_user_7985,0.0,0.5,1.0,0.5,0.0,0.5
Fundamentals don't support current XRP valuation. Overpriced!,Fundamentals don't support current XRP valuation. Overpriced!,2025-05-09 00:12:19+00:00,crypto_user_7041,0.0,0.5,0.0,0.5,0.0,0.5
Institutional adoption of XRP is increasing. Bullish!,Institutional adoption of XRP is increasing. Bullish!,2025-04-21 14:49:14+00:00,crypto_user_6776,1.0,1.0,0.0,0.0,1.0,0.5
Accumulating XRP at these levels is a no-brainer.,Accumulating XRP at these levels is a no-brainer.,2025-04-14 12:56:55+00:00,crypto_user_8084,1.0,1.0,0.0,0.0,1.0,0.5
Monitoring XRP price action. No clear direction yet.,Monitoring XRP price action. No clear direction yet.,2025-04-25 22:31:29+00:00,crypto_user_9944,0.0,0.5,1.0,0.5,0.0,0.5
Comparing XRP to other cryptocurrencies. Mixed results.,Comparing XRP to other cryptocurrencies. Mixed results.,2025-05-22 03:13:51+00:00,crypto_user_1014,0.0,0.5,1.0,0.5,0.0,0.5
The XRP market is maturing. Expect less volatility.,The XRP market is maturing. Expect less volatility.,2025-05-04 15:14:34+00:00,crypto_user_9756,0.0,0.5,1.0,0.5,0.0,0.5
Just sold my XRP. Too much volatility for me.,Just sold my XRP. Too much volatility for me.,2025-05-26 15:21:55+00:00,crypto_user_4270,-1.0,0.0,0.0,1.0,-1.0,0.5
